id,DateFrom,DateTo,min,mean,max
1,2021-11-16T00:00:00Z,2021-11-17T00:00:00Z,1847.188477,1858.148059,1870.907349
1,2021-11-17T00:00:00Z,2021-11-18T00:00:00Z,NaN,NaN,NaN
1,2021-11-18T00:00:00Z,2021-11-19T00:00:00Z,1927.699829,1932.385612,1939.192749
1,2021-11-19T00:00:00Z,2021-11-20T00:00:00Z,1932.467773,1970.3114,1997.829712
1,2021-11-20T00:00:00Z,2021-11-21T00:00:00Z,1916.898682,1974.091109,2015.368042
1,2021-11-21T00:00:00Z,2021-11-22T00:00:00Z,NaN,NaN,NaN
1,2021-11-22T00:00:00Z,2021-11-23T00:00:00Z,NaN,NaN,NaN
1,2021-11-23T00:00:00Z,2021-11-24T00:00:00Z,NaN,NaN,NaN
1,2021-11-24T00:00:00Z,2021-11-25T00:00:00Z,1903.111816,1923.032759,1959.049927
1,2021-11-25T00:00:00Z,2021-11-26T00:00:00Z,1891.450562,1912.630655,1944.164673
1,2021-11-26T00:00:00Z,2021-11-27T00:00:00Z,1881.309937,1892.26112,1909.42334
1,2021-11-27T00:00:00Z,2021-11-28T00:00:00Z,1880.738403,1897.484784,1912.701294
1,2021-11-28T00:00:00Z,2021-11-29T00:00:00Z,1889.479248,1898.802228,1905.805908
1,2021-11-29T00:00:00Z,2021-11-30T00:00:00Z,1883.746826,1910.054512,1922.484009
1,2021-11-30T00:00:00Z,2021-12-01T00:00:00Z,1764.766235,1799.397359,1871.601929
1,2021-12-01T00:00:00Z,2021-12-02T00:00:00Z,1877.253052,1918.774666,1939.63208
1,2021-12-02T00:00:00Z,2021-12-03T00:00:00Z,NaN,NaN,NaN
1,2021-12-03T00:00:00Z,2021-12-04T00:00:00Z,NaN,NaN,NaN
1,2021-12-04T00:00:00Z,2021-12-05T00:00:00Z,NaN,NaN,NaN
1,2021-12-05T00:00:00Z,2021-12-06T00:00:00Z,1920.013062,1938.180678,1955.437134
1,2021-12-06T00:00:00Z,2021-12-07T00:00:00Z,NaN,NaN,NaN
1,2021-12-07T00:00:00Z,2021-12-08T00:00:00Z,NaN,NaN,NaN
1,2021-12-08T00:00:00Z,2021-12-09T00:00:00Z,1798.139038,1805.208396,1834.954956
1,2021-12-09T00:00:00Z,2021-12-10T00:00:00Z,1869.488159,1875.26864,1881.628662
1,2021-12-10T00:00:00Z,2021-12-11T00:00:00Z,NaN,NaN,NaN
1,2021-12-11T00:00:00Z,2021-12-12T00:00:00Z,NaN,NaN,NaN
1,2021-12-12T00:00:00Z,2021-12-13T00:00:00Z,1859.005249,1865.513473,1882.263184
1,2021-12-13T00:00:00Z,2021-12-14T00:00:00Z,1884.39978,1898.100797,1918.24646
1,2021-12-14T00:00:00Z,2021-12-15T00:00:00Z,1898.000488,1920.960433,1934.971802
1,2021-12-15T00:00:00Z,2021-12-16T00:00:00Z,1900.055176,1912.299314,1933.767456
1,2021-12-16T00:00:00Z,2021-12-17T00:00:00Z,1897.058228,1911.880176,1932.795166
1,2021-12-17T00:00:00Z,2021-12-18T00:00:00Z,1865.209595,1904.116872,1922.504517
1,2021-12-18T00:00:00Z,2021-12-19T00:00:00Z,1837.138916,1866.142834,1883.924561
1,2021-12-19T00:00:00Z,2021-12-20T00:00:00Z,NaN,NaN,NaN
1,2021-12-20T00:00:00Z,2021-12-21T00:00:00Z,1907.053223,1914.024367,1922.344116
1,2021-12-21T00:00:00Z,2021-12-22T00:00:00Z,1897.230469,1921.694498,1954.606567
1,2021-12-22T00:00:00Z,2021-12-23T00:00:00Z,NaN,NaN,NaN
1,2021-12-23T00:00:00Z,2021-12-24T00:00:00Z,NaN,NaN,NaN
1,2021-12-24T00:00:00Z,2021-12-25T00:00:00Z,1866.961304,1883.220345,1897.483521
1,2021-12-25T00:00:00Z,2021-12-26T00:00:00Z,NaN,NaN,NaN
1,2021-12-26T00:00:00Z,2021-12-27T00:00:00Z,1853.755127,1868.351845,1877.442627
1,2021-12-27T00:00:00Z,2021-12-28T00:00:00Z,1867.186157,1891.423642,1908.771973
1,2021-12-28T00:00:00Z,2021-12-29T00:00:00Z,NaN,NaN,NaN
1,2021-12-29T00:00:00Z,2021-12-30T00:00:00Z,NaN,NaN,NaN
1,2021-12-30T00:00:00Z,2021-12-31T00:00:00Z,NaN,NaN,NaN
1,2021-12-31T00:00:00Z,2022-01-01T00:00:00Z,1870.680176,1876.386368,1883.538208
1,2022-01-01T00:00:00Z,2022-01-02T00:00:00Z,NaN,NaN,NaN
1,2022-01-02T00:00:00Z,2022-01-03T00:00:00Z,1877.400635,1908.905778,1959.446533
1,2022-01-03T00:00:00Z,2022-01-04T00:00:00Z,NaN,NaN,NaN
1,2022-01-04T00:00:00Z,2022-01-05T00:00:00Z,NaN,NaN,NaN
1,2022-01-05T00:00:00Z,2022-01-06T00:00:00Z,1886.979736,1901.412742,1924.866821
1,2022-01-06T00:00:00Z,2022-01-07T00:00:00Z,NaN,NaN,NaN
1,2022-01-07T00:00:00Z,2022-01-08T00:00:00Z,1865.424561,1895.326452,1907.372803
1,2022-01-08T00:00:00Z,2022-01-09T00:00:00Z,1884.170898,1896.299583,1909.838135
1,2022-01-09T00:00:00Z,2022-01-10T00:00:00Z,1862.890137,1865.195761,1866.376221
1,2022-01-10T00:00:00Z,2022-01-11T00:00:00Z,1871.160767,1891.499786,1914.983276
1,2022-01-11T00:00:00Z,2022-01-12T00:00:00Z,NaN,NaN,NaN
1,2022-01-12T00:00:00Z,2022-01-13T00:00:00Z,NaN,NaN,NaN
1,2022-01-13T00:00:00Z,2022-01-14T00:00:00Z,NaN,NaN,NaN
1,2022-01-14T00:00:00Z,2022-01-15T00:00:00Z,NaN,NaN,NaN
1,2022-01-15T00:00:00Z,2022-01-16T00:00:00Z,NaN,NaN,NaN
1,2022-01-17T00:00:00Z,2022-01-18T00:00:00Z,1874.807495,1883.919159,1908.592163
1,2022-01-18T00:00:00Z,2022-01-19T00:00:00Z,1794.265747,1850.461995,1905.436157
1,2022-01-19T00:00:00Z,2022-01-20T00:00:00Z,1861.79895,1861.885885,1861.973755
1,2022-01-20T00:00:00Z,2022-01-21T00:00:00Z,NaN,NaN,NaN
1,2022-01-21T00:00:00Z,2022-01-22T00:00:00Z,NaN,NaN,NaN
1,2022-01-22T00:00:00Z,2022-01-23T00:00:00Z,NaN,NaN,NaN
1,2022-01-23T00:00:00Z,2022-01-24T00:00:00Z,NaN,NaN,NaN
1,2022-01-24T00:00:00Z,2022-01-25T00:00:00Z,NaN,NaN,NaN
1,2022-01-25T00:00:00Z,2022-01-26T00:00:00Z,NaN,NaN,NaN
1,2022-01-26T00:00:00Z,2022-01-27T00:00:00Z,NaN,NaN,NaN
1,2022-01-27T00:00:00Z,2022-01-28T00:00:00Z,NaN,NaN,NaN
1,2022-01-28T00:00:00Z,2022-01-29T00:00:00Z,1882.779785,1885.448007,1886.124268
1,2022-01-29T00:00:00Z,2022-01-30T00:00:00Z,1849.089111,1890.867387,1915.041016
